Application ID,Loan No.,Repaid Date,Mpesa Code,Amount,Balance
D1001,1,,,,"9300"
D1001,1,07/15/2020,OGF2S40I0C,300.00,"9000"
D1001,1,07/16/2020,OGG4T3LG0K,380.00,"8620"
D1001,1,07/17/2020,OGH2TZ0OOK,340.00,"8280"
D1001,1,07/18/2020,OGI7V0FQ73,340.00,"7940"
D1001,1,07/19/2020,OGJ5VTK04B,340.00,"7600"
D1001,1,07/21/2020,OGL2WZDOH6,340.00,"7260"
D1001,1,07/22/2020,OGM3XTLQP9,340.00,"6920"
D1001,1,07/22/2020,OGM9YE0FVZ,340.00,"6580"
D1001,1,07/24/2020,OGOZQCUU6,340.00,"6240"
D1001,1,07/27/2020,OGR83SVNS0,900.00,"5340"
D1001,1,07/29/2020,OGT75C806V,600.00,"4740"
D1001,1,07/31/2020,OGV77ARDWX,650.00,"4090"
D1001,1,08/02/2020,OH28A95GK8,740.00,"3350"
D1001,1,08/07/2020,OH74ENONJ6,"3350.00",0
D1001,2,08/11/2020,OHB2IKLZPH2,310.00,"8790"
D1001,2,08/17/2020,OHH5P4F5FB,320.00,"8470"
D1001,2,08/18/2020,OHJ0QWQ7XQ,340.00,"8130"
D1001,2,08/21/2020,OHL5SW4Y61,800.00,"7330"
D1001,2,09/02/2020,OI2969D62X,"7330.00",0
D1001,3,09/10/2020,OIA6EZG7T0,"2275.00","6265"
D1001,3,09/17/2020,OIH2MM2X08,"2275.00","3990"
D1001,3,09/23/2020,OIN9SLUZMX,"3990.00",0
D1001,4,10/02/2020,OJ233QDV0F,"2275.00","6225"
D1001,4,10/14/2020,OJE7HLDPWT,"6225.00",0
D1001,5,11/04/2020,OK405ZBQZS,"8610.00",0
D1001,6,11/28/2020,OKS3Z1PQB5,977.00,"10083"
D1001,6,12/08/2020,OL89CHTZWJ,"1000.00","9083"
D1001,6,12/09/2020,OL90DBT6DI,"1000.00","8083"
D1001,6,12/16/2020,OLG0LRZZ16,"1500.00","6583"
D1001,6,12/19/2020,OLJ2PM1YKK,"2000.00","4583"
D1001,6,12/22/2020,OLM2TFEYRS,"2000.00","2583"
D1001,6,12/23/2020,0LN3VNU2YD,"2580.00",3
D1001,6,12/24/2020,OL07WFFZ7D,3.00,0
D1001,7,04/05/2021,PD59HZDFMR,"2000","7100"
D1001,7,04/13/2021,PDD9RP2FXH,"1000","6100"
D1001,7,04/19/2021,PDJ1ZEWXHZ,"1400","4700"
D1001,7,04/21/2021,PDL02SYJK2,500,"4200"
D1001,7,4/26/2021,PDQ298WAKI,"1600","2600"
D1001,7,4/26/2021,PDQ69LIYYU,"2600",0
D1001,8,05/07/2021,PE71O105GP,870,"8650"
D1001,8,05/10/2021,PEA9T36DVH,"1400","7250"
D1001,8,05/19/2021,PEJ94O6VDB,"1000","6250"
D1001,8,05/25/2021,PEP2CN0MHI,"6250",0
D1001,9,06/07/2021,PF76TV8EV8,"1250","8270"
D1001,9,06/12/2021,PFC71PMW4D,"1000","7270"
D1001,9,06/23/2021,PFN4GZLXMC,"7270",0
D1001,10,07/07/2021,PG721Y4X46,100,"9420"
D1001,10,07/11/2021,PGB48GMWU6,"1100","8320"
D1001,10,07/22/2021,PGM9NV86ZL,"8320",0
D1001,11,03/17/2022,QCH0T2VFGC,217,"7683"
D1001,11,03/18/2022,QCI1W7XBW1,434,"7249"
D1001,11,03/22/2022,QCM24EFAQI,100,"7149"
D1001,11,03/22/2022,QCM34EJSMB,100,"7049"
D1001,11,03/22/2022,QCM04ENSB0,100,"6949"
D1001,11,03/24/2022,QCO686NEM8,400.00,"6549"
D1001,11,03/25/2022,QCP296SC9S,217.00,"6332"
D1001,11,03/28/2022,QCS1ECUEJH,100.00,"6232"
D1001,11,03/28/2022,QCS2ECXNC8,100.00,"6132"
D1001,11,03/28/2022,QCS4ED6NYO,100.00,"6032"
D1001,11,03/29/2022,QCT1GGGEQ3,100.00,"5932"
D1001,11,03/29/2022,QCT2GGKCLC,100.00,"5832"
D1001,11,03/29/2022,QCT1GGP3NN,100.00,"5732"
D1001,11,03/29/2022,QCT8HAJQC4,100.00,"5632"
D1001,11,03/29/2022,QCT3HB8P8J,70.00,"5562"
D1001,11,04/14/2022,QDE7CPCUUX,200.00,"5362"
D1001,11,04/15/2022,QDF3F625AF,470.00,"4892"
D1001,11,04/19/2022,QDJ1LVDXKN,217.00,"4675"
D1001,11,04/21/2022,QDL9R1VN07,300.00,"4375"
D1001,11,04/26/2022,QDQ31JL0OD,500.00,"3875"
D1001,11,04/27/2022,QDS23K7HMS,200.00,"3675"
D1001,11,04/29/2022,QDT972KNWF,200.00,"3475"
D1001,11,05/04/2022,QE49GLJJ13,500.00,"2975"
D1001,11,05/06/2022,QE68IYG8TI,100.00,"2875"
D1001,11,05/06/2022,QE69IYL0MJ,100.00,"2775"
D1001,11,05/08/2022,QE83NZ72X3,500.00,"2275"
D1001,11,05/09/2022,QE91QB54WN,700.00,"1575"
D1001,11,05/12/2022,QEC0WD0AZA,475.00,"1100"
D1002,1,07/17/2020,OGH9TUUWCV,"1500.00","9700"
D1002,1,07/19/2020,OGJ7VNCKIX,"1500.00","8200"
D1002,1,07/20/2020,OGK9WR4STJ,"1000.00","7200"
D1002,1,07/21/2020,OGL4XP40HA,700.00,"6500"
D1002,1,07/22/2020,OGM2YL1240,"1000.00","5500"
D1002,1,07/23/2020,OGN5ZJTYO9,"1000.00","4500"
D1002,1,07/26/2020,OGQ73DRA4F,"2000.00","2500"
D1002,1,07/27/2020,OGR74AW2NB,"1000.00","1500"
D1002,1,07/28/2020,OGS84UJ8YS,"1500.00",0
D1002,2,07/30/2020,OGU677GTEI,"1000.00","10200"
D1002,2,08/02/2020,OH20A4P740,"1500.00","8700"
D1002,2,08/04/2020,OH40C7T4KI,"1000.00","7700"
D1002,2,08/06/2020,OH68ED0EDE,"1000.00","6700"
D1002,2,08/07/2020,OH71F0N5CB,"6700.00",0
D1002,3,08/17/2020,0HH7P2FM5X,"11200.00",0
D1002,3,,,,
D1002,3,,,,
D1002,3,,,,
D1002,3,,,,
D1002,4,08/28/2020,OHS418BPWW,"11200.00",0
D1002,5,09/08/2020,OI86CU7490,"11200.00",0
D1002,6,09/21/2020,OIL4Q9AI7E,"11400.00",0
D1002,7,10/02/2020,OJ243MVTTA,"11200.00",0
D1002,8,10/13/2020,OJD8GH0Q0Y,"11200.00",0
D1002,9,10/24/2020,OJO5T576IZ,"5700.00","7980"
D1002,9,10/27/2020,OJQ1URK7D9,"7980.00",0
D1002,10,11/06/2020,OK658L5GBT,"13440.00",
D1002,11,11/17/2020,OKH2LDHC04,"13440.00",
D1002,12,11/30/2020,OKU21XN4KG,"13680.00",
D1002,13,12/11/2020,OLB0FPYYZM,"13440.00",
D1002,14,12/22/2020,OLM7TQDZ3V,"13440.00",
D1002,15,01/04/2021,PA48AHAGSC,"13680.00",
D1002,16,01/15/2021,PAF4N2JDGG,"16800.00",
D1002,17,01/26/2021,PAQ4ZVA78S,"16800.00",
D1002,18,02/06/2021,PB60E4Q8F8,"16800.00",
D1002,19,02/18/2021,PBI6SODZ5G,"16950.00",0
D1002,20,03/02/2021,PC218OQV93,"19210.00",0
D1002,21,03/15/2021,PCF3PIQ469,"20520.00",0
D1002,22,03/27/2021,PCR75PU66Z,"22600.00",0
D1002,23,04/08/2021,PD82LGQAJA,"22600.00",0
D1002,24,04/20/2021,PDK6Y4B0G,"22600.00",0
D1002,25,06/03/2021,PF31P9TOP9,"1000.00","32180"
D1002,25,06/08/2021,PF88VKWYQU,"1000.00","31180"
D1002,25,06/09/2021,PF98X6EGKO,"1000.00","30180"
D1002,25,06/10/2021,PFB8ZS67ZW,1000,"29180"
D1002,25,06/14/2021,PFE94QY8DT,1000,"28180"
D1002,25,06/17/2021,PFH68TDDSA,1000,"27180"
D1002,25,06/22/2021,PFM8FHTYBM,1000,"26180"
D1002,25,06/26/2021,PFQ9LGI4J1,300,"25880"
D1002,25,07/07/2021,PG7723BLRX,1000,"24880"
D1002,25,07/14/2021,PGE4BJJXFC,1000,"23880"
D1002,25,07/22/2021,PGM6N5M1K0,500,"23380"
D1002,25,09/15/2021,PIF3XFFIBV,100,"23280"
D1002,25,09/15/2021,PIF3XH9U0T,100,"23180"
D1002,25,09/22/2021,PIM98VTWIL,200,"22980"
D1002,25,10/01/2021,PJ12MXERL0,150,"22830"
D1002,25,10/01/2021,PJ10MYMPSO,50,"22780"
D1002,25,10/05/2021,PJ56SUI5JQ,100,"22680"
D1002,25,10/28/2021,PJS7U3B6QL,220,"22460"
D1002,25,11/11/2021,PKB9IFG4HT,250,"22210"
D1002,25,11/17/2021,PKH4S06VIQ,250,"21960"
D1002,25,11/23/2021,PKN030KKJ8,250,"21710"
D1002,25,11/24/2021,PKO84VC2O0,200,"21510"
D1002,25,11/26/2021,PKQ57TFAGD,100,"21410"
D1002,25,11/26/2021,PKQ281M574,100,"21310"
D1002,25,12/01/2021,PL19GJUWTN,200,"21110"
D1002,25,12/07/2021,PL79R8620L,150,"20960"
D1002,25,12/10/2021,PLA5WEUAQD,150,"20810"
D1002,25,12/23/2021,PLN1JZOGK7,150,"20660"
D1002,25,12/24/2021,PLO7M2Q6FB,100,"20560"
D1002,25,01/25/2022,QAP34Q2SFX,200,"20360"
D1002,25,02/03/2022,QB30KCOF18,200,"20160"
D1002,25,02/22/2022,QBM1K2ZNXD,150,"20010"
D1002,25,03/03/2022,QC483WS4B0,200,"19810"
D1002,25,03/18/2022,QCI8V31EGI,200,"19610"
D1002,25,03/17/2023,RCH914CNHH,250,"19360"
D1002,25,06/15/2023,RFF53XSUWJ,200,"19160"
D1002,25,06/29/2023,RFT391MF65,200,"18960"
D1003,1,08/03/2020,OH30AT0L8M,"22800.00",0
D1003,2,08/14/2020,OHE2M5O53S,"22400.00",0
D1003,3,08/28/2020,OHS714BMXV,"22800.00",0
D1003,4,09/10/2020,OIA9F0BIYL,"22800.00",0
D1003,5,09/24/2020,OIO7UC6J6T,"23000.00",0
D1003,6,10/07/2020,OJ79A8JMWX,"22800.00",0
D1003,7,10/21/2020,OJL0PQZYW8,"22800.00",0
D1003,8,11/04/2020,OK486PWL4A,"22800.00",0
D1003,9,11/18/2020,OKI5N67TF5,"22800.00",0
D1003,10,12/03/2020,OL396BD3IX,"34500.00",0
D1003,11,12/17/2020,OLH3O1AELX,"34200.00",0
D1003,12,01/02/2020,PA2681BTJS,"34500.00",0
D1003,13,01/14/2021,PAE1MRZNQD,"33900.00",0
D1003,14,01/29/2021,PAT74LQQZZ,"40250.00",0
D1003,15,02/12/2021,PBC9L5XXGL,"40250.00",0
D1003,16,02/26/2021,PBQ147RMOR,"46000.00",0
D1003,17,12/28/2021,PLS3T5J5HX,"56000.00",0
D1003,18,02/28/2022,QBS8UF9EJG,"58000.00",500
D1003,18,02/28/2022,QBS7UOA9GX,500.00,0
D1003,19,04/09/2022,QD9953WDRT,"56500.00",0
D1003,20,05/06/2022,QE60J8T0EU,"5000.00","60000"
D1003,20,05/25/2022,QEP1KG6C7P,"2000.00","58000"
D1003,20,05/26/2022,QEQ2MB5P3G,"2000.00","56000"
D1003,20,05/27/2022,QER0OEW186,2000,"54000"
D1003,20,05/28/2022,QES2QK64HO,2000,"52000"
D1003,20,05/30/2022,QEU7VYOASP,10000,"42000"
D1003,20,06/08/2022,QF81DGML6X,10000,"32000"
D1003,20,06/13/2022,QFD4OKHD7I,2000,"30000"
D1003,20,06/16/2022,QFG5T78KQP,2000,"28000"
D1003,20,06/18/2022,QFI3YRDJSR,2000,"26000"
D1003,20,07/03/2022,QG30T5QESI,5000,"21000"
D1003,20,07/07/2022,QG772U9R13,1000,"20000"
D1003,20,08/01/2022,QH11GEC5SL,5000,"15000"
D1003,20,08/11/2022,QHB01KGYZY,2000,"13000"
D1003,20,08/22/2022,QHM4MHG7A2,13000,0
D1003,21,12/03/2022,QL358Z1QZ5,"56500.00",0
D1003,21,12/16/2022,QLG9CLW5BN,"57000.00",0
D1003,22,12/30/2022,QLU3D6JMYJ,"57000.00",0
D1003,23,01/13/2023,RAD1C6NRDF,"57000.00",0
D1003,24,01/13/2023,RAR5CDHO7R,"57000.00",0
D1003,25,02/10/2023,RBA9DS9V49,"57000.00",0
D1003,26,03/02/2023,RC25V82OV9,"57500.00",0
D1003,27,03/17/2023,RCH9YD1WJF,"57000.00",500
D1003,27,03/17/2023,INTEREST WAIVER,500.00,0
D1003,28,05/11/2023,REB6BTPKRE,"61500.00",0
D1003,29,06/07/2023,RF70I3PT6Y,"63500.00",0
D1003,30,06/26/2023,RFQ929VTY9,"59500.00",0
D1004,1,07/31/2020,OGV17TKKAF,"2000.00","10000"
D1004,1,08/03/2020,OH31B2XAVT,"5000.00","5000"
D1004,1,08/11/2020,OHB9J2S3AH,"5000.00",0
D1004,2,08/25/2020,OHP3XCQCL9,"7000.00","5000"
D1004,2,08/31/2020,OHV84CJGDE,"5000.00",0
D1004,3,09/21/2020,OIL7QZLFZF,"11900.00",0
D1004,4,12/02/2020,OL244H8AS2,"12000.00",0
D1004,5,12/21/2020,OLL7S5F4Z5,"14040.00",0
D1004,6,01/14/2021,PAE8MDSVFE,"15000.00",0
D1004,7,02/08/2021,PB87H7IWFN,"15120.00",0
D1004,8,03/09/2021,PC93HI155H,"19350.00",0
D1004,9,03/29/2021,PCT38DKLAB,"18150.00",0
D1004,10,04/17/2021,PDH0XFIFIQ,"20400.00",0
D1004,11,05/12/2021,PEC7VOGZDD,"18600.00",0
D1004,12,06/03/2021,PF32OFA6OS,"18450.00",150
D1004,13,06/03/2021,PF32OFA6OS_D2,150.00,"25650"
D1004,13,07/01/2021,PG17S06GGL,"25650.00",0
D1004,14,08/24/2021,PHO9Z3LHXF,"1000.00","30600"
D1004,14,08/26/2021,PHQ6413FTE,"1000.00","29600"
D1004,14,08/29/2021,PHT486B58G,"1500.00","28100"
D1004,14,09/01/2021,PI19C165FP,1600,"26500"
D1004,14,10/17/2021,PJH4DZVVQS,1500,"25000"
D1004,14,10/25/2021,PJP8OZFI8I,450,"24550"
D1004,14,10/26/2021,PJQ3RMUJCD,500,"24050"
D1004,14,10/27/2021,PJR9T7RUTR,500,"23550"
D1004,14,10/28/2021,PJS3V25R35,500,"23050"
D1004,14,11/02/2021,PK2231D3AM,700,"22350"
D1004,14,11/17/2021,PKH6S1PSB8,120,"22230"
D1004,14,11/22/2021,PKM81WDQ0Q,1000,"21230"
D1004,14,11/28/2021,PKS7C7LB6P,900,"20330"
D1004,14,12/06/2021,PL65OPJV6F,950,"19380"
D1004,14,12/13/2021,PLD1280Q8H,1700,"17680"
D1004,14,12/27/2021,PLR4QBAB1U,1400,"16280"
D1004,14,01/26/2022,QAQ5607W5P,700,"15580"
D1004,14,02/26/2022,QBQ2R2FY0O,500,"15080"
D1004,14,03/04/2022,QC423W5BN8,200,"14880"
D1004,14,03/14/2022,QCE1NSKYCT,100,"14780"
D1004,14,03/15/2022,QCF7PQS229,300,"14480"
D1004,14,03/25/2022,QCP4903K48,250,"14230"
D1004,14,04/04/2022,QD40S41J12,500,"13730"
D1004,14,08/08/2022,QH83UYDNCL,500,"13230"
D1004,14,08/29/2022,QHT4ZM3BBM,500,"12730"
D1004,14,09/12/2022,QIC6UM958W,3000,"9730"
D1004,14,03/27/2023,RCR3PQ405N,700,"9030"
D1004,14,08/14/2023,RHE04FR7A2,2000,"7030"
D1005,1,07/30/2020,OGU8775LO4,700.00,"3020"
D1005,1,07/31/2020,OGV37T7END,100.00,"2920"
D1005,1,08/03/2020,OH39AJ5IST,125.00,"2795"
D1005,1,08/03/2020,OH31AJKP39,50.00,"2745"
D1005,1,08/06/2020,OH67DFA1Z3,975.00,"1770"
D1005,1,08/12/2020,OHC5KJEBA1,850.00,920
D1005,1,08/15/2020,OHF9N1HYEF,920.00,0
D1005,2,08/23/2020,OHN4VMPABK,900.00,"2940"
D1005,2,08/26/2020,OHQ5Y2ISMV,73.00,"2867"
D1005,2,09/03/2020,OI397QHWJN,977.00,"1890"
D1005,2,09/07/2020,OI71BLN2RR,975.00,915
D1005,2,09/10/2020,OIA3EQC9UH,915.00,0
D1005,3,09/14/2020,OIE4JEASOO,900.00,"2730"
D1005,3,09/18/2020,OII5N53EUP,75.00,"2655"
D1005,3,09/25/2020,OIP0UO574K,975.00,"1680"
D1005,3,09/30/2020,OIU217W8WW,"1680.00",0
D1005,4,10/08/2020,OJ82AXPG12,975.00,"2685"
D1005,4,10/17/2020,OJH7KI1F71,975.00,"1710"
D1005,4,10/21/2020,0JL9P93WYB,"1710.00",0
D1005,5,10/30/2020,OJU1ZGNQFB,975.00,"2625"
D1005,5,11/07/2020,OK76A5CVKS,875.00,"1750"
D1005,5,11/07/2020,OK77ABN765,10.00,"1740"
D1005,5,11/07/2020,OK80BCZPQ6,90.00,"1650"
D1005,5,11/09/2020,OK90BUSAY2,"1650.00",0
D1005,6,11/18/2020,OKI9MKCXRP,900.00,"3000"
D1005,6,11/24/2020,OKO3TUMYGR,975.00,"2025"
D1005,6,12/07/2020,OL71AHUJYB,975.00,"1050"
D1005,6,12/07/2020,OL73AW83L9,975.00,75
D1005,6,12/07/2020,OL78AWBR8K,50.00,25
D1005,6,12/07/2020,OL74AX6P50,25.00,0
D1005,7,12/14/2020,OLE5JS75UV,800.00,"3100"
D1005,7,12/26/2020,OLQ7ZJ8GQN,975.00,"2125"
D1005,7,01/01/2021,PA196QUOMB,975.00,"1150"
D1005,7,01/04/2021,PA40APAZG4,"1150.00",0
D1005,8,01/17/2021,PAH0PBE8VG,975.00,"2925"
D1005,8,01/23/2021,PAN8X3B9U2,975.00,"1950"
D1005,8,01/31/2021,PAV1765887,"2000.00",50
D1005,9,02/17/2021,PBH9RAWQ5T,975.00,"2925"
D1005,9,02/17/2021,PBH1RAUJC3,975.00,"1950"
D1005,9,02/21/2021,PBL1WYNMEV,975.00,975
D1005,9,02/21/2021,PBL3WYT91X,975.00,0
D1005,10,03/06/2021,PC69EA6HQL,975.00,"2925"
D1005,10,03/14/2021,PCE2OMUUWE,975.00,"1950"
D1005,10,03/20/2021,PCK5WABFHP,"1100.00",850
D1005,10,03/21/2021,PCL0XGN2XS,500.00,350
D1005,10,03/22/2021,PCL7XTL4BT,400.00,50
D1005,11,04/05/2021,PD57I0ZLIF,600.00,"4930"
D1005,11,04/05/2021,PD59I19W13,490.00,"4440"
D1005,11,04/21/2021,PDL82PZ98O,480.00,"3960"
D1005,11,04/24/2021,PDO37KLDJD,500.00,"3460"
D1005,11,05/02/2021,PE22HT5ARE,400.00,"3060"
D1005,11,05/15/2021,PEF6YRXSEK,450.00,"2610"
D1005,11,05/15/2021,PEK569RXGJ,800,"1810"
D1005,11,05/27/2021,PER2FZXIRE,500,"1310"
D1005,11,05/29/2021,PET1IHQH9T,330,980
D1006,1,,,,
D1006,2,08/17/2020,OHH4PDLFG4,"1675.00","4425"
D1006,2,08/24/2020,OHO8WHQS8W,"1675.00","2750"
D1006,2,08/31/2020,OHV745X7G7,"2750.00",0
D1006,3,09/07/2020,OI76BZQ5H2,"1625.00","4225"
D1006,3,09/13/2020,OID4IL99XO,800.00,"3425"
D1006,3,09/14/2020,OIE8JE73N2,825.00,"2600"
D1006,3,09/16/2020,OIG5LJEU8N,"2600.00",0
D1006,4,09/23/2020,OIN7T25X3Z,"1625.00","4175"
D1006,4,09/30/2020,OIU21XA1KW,"1625.00","2550"
D1006,4,10/01/2020,0J172JWEGT,"2550.00",0
D1006,5,10/08/2020,OJ83ASBT8R,"1625.00","4425"
D1006,5,10/15/2020,OJF0IQ7V3U,"2025.00","2400"
D1006,5,10/19/2020,OJJ6N38K4I,"2400.00",0
D1006,6,10/26/2020,OJQ3V1THJB,"2000.00","5020"
D1006,6,11/02/2020,OK22451I3G,"2500.00","2520"
D1006,6,11/04/2020,OK4468BXNI,"2520.00",0
D1006,7,11/12/2020,OKC4FHV36M,"1950.00","5010"
D1006,7,11/19/2020,OKJ4NMBL2A,"5010.00",0
D1006,8,11/26/2020,OKQ8WIP5J4,"1700.00","5380"
D1006,8,12/03/2020,OL395ZRL4H,"1800.00","3580"
D1006,8,12/05/2020,OL5982VUNZ,"3580.00",0
D1006,9,12/15/2020,OLF2LCPM6G,800.00,"7360"
D1006,9,01/04/2021,PA44AC3MK2,"7360.00",0
D1006,10,02/01/2021,PB107ZQT3A,"7800.00",0
D1006,11,03/02/2021,PC288BIXV2,"8160.00",0
D1006,12,03/31/2021,PCV7B09ZAR,"9520.00",0
D1006,13,05/04/2021,PE40JRXOAC,"1000.00","9220"
D1006,13,05/07/2021,PE74OM30SW,"9220.00",0
D1006,14,06/08/2021,PF86VDIO00,"9520.00",0
D1006,15,06/23/2021,PFN8GRY7L8,"8190.00",0
D1006,16,07/21/2021,PGL0LMAKFM,"10400.00",0
D1006,17,08/17/2021,PHH9PHWAE1,"10320.00",0
D1006,18,09/13/2021,PID0U6QPAS,"10320.00",0
D1006,19,10/12/2021,PJC35JOTH9,"10880.00",0
D1006,20,01/29/2022,QAT0BCAJ76,540.00,"5300"
D1006,20,02/22/2022,QBM4KFA0EU,"2040.00","3260"
D1006,20,02/28/2022,QBS2V65I5M,3260,0
D1006,21,03/05/2022,QC537KFWOP,400.00,"4800"
D1006,21,03/09/2022,QC98DJR8JM,560.00,"4240"
D1006,21,03/10/2022,QCA2H7KYO0,500,"3740"
D1006,21,03/25/2022,QCP994S1PH,500,"3240"
D1006,21,03/28/2022,QCS0ETWL1I,3240,0
D1006,22,04/21/2022,QDL4PPCKTS,"5080.00",0
D1006,23,05/17/2022,QEH966CZOV,"5160.00",0
D1006,24,06/13/2022,QFD7NV04J5,"6500.00",0
D1006,25,07/11/2022,QGB9A5EWT9,"6500.00",0
D1006,26,08/08/2022,QH88VO89NS,"6500.00",0
D1006,27,09/05/2022,QI56FFCTFU,"6500.00",0
D1006,28,10/02/2022,QJ254QRCWT,"5500.00","1000"
D1006,28,10/03/2022,QJ345O8BAQ,"1000.00",0
D1006,29,11/01/2022,QK161DGPR4,"8160.00",0
D1006,30,11/29/2022,QKT2VSDSJ8,"7800.00",0
D1006,31,12/29/2022,QLT693CDJA,"5000.00","3160"
D1006,31,12/29/2022,QLT493HBFO,"2000.00","1160"
D1006,31,12/29/2022,QLT593M5SN,1160,0
D1006,32,01/27/2023,RAR6AK3WBA,"8160.00",0
D1006,33,02/27/2023,RBR0L9OA0Q,"6160.00","2000"
D1006,33,02/27/2023,RBR8L9TYQO,"2000.00",0
D1006,34,03/24/2023,RCO1ITN9H5,"7620.00",0
D1006,35,04/21/2023,RDL1Q9Y8L3,"7800.00",0
D1006,36,05/16/2023,REG1PRSF5B,"7560.00",0
D1006,37,06/15/2023,RFF84X5XBW,"2500.00","5660"
D1006,37,06/16/2023,RFG77Y4VWT,"1500.00","4160"
D1006,37,06/17/2023,RFH29Z0IAK,4180,20
D1006,38,07/20/2023,RGK6ZKGABO,"8180.00",20
D1007,1,07/31/2020,OGV27W5JFE,"1625.00","4125"
D1007,1,08/07/2020,,"4125.00",0
D1007,2,08/14/2020,OHE5M2BYM9,"1625.00","4275"
D1007,2,08/21/2020,OHL7TP9EL9,"1625.00","2650"
D1007,2,08/24/2020,OHO3W8TRRF,"1000.00","1650"
D1007,2,08/24/2020,OHO0W8N55W,"1650.00",0
D1007,3,08/31/2020,OHV34C7IDT,"1625.00","3975"
D1007,3,09/03/2020,OI367E494S,"3975.00",0
D1007,4,09/10/2020,OIA1FAEW9B,"1625.00","4225"
D1007,4,09/17/2020,OIH2MX0M9G,"1400.00","2825"
D1007,4,09/19/2020,OIJ1O8IKNN,"2825.00",0
D1007,5,09/26/2020,OIQ2WKQN3S,600.00,"5300"
D1007,5,09/29/2020,OIT4YS6NNA,"1025.00","4275"
D1007,5,10/05/2020,OJ596UP4S1,"1450.00","2825"
D1007,5,10/06/2020,OJ6688V126,"2825.00",0
D1007,6,10/15/2020,OJF3JA4857,850.00,"5350"
D1007,6,10/29/2020,OJT7Y68MBV,"5350.00",0
D1007,7,11/05/2020,OK597WM1CF,"1000.00","5800"
D1007,7,11/26/2020,OKQ5WNL8VP,"4200.00","1600"
D1007,7,11/27/2020,OKR0WYEPC8,"1600.00",0
D1007,8,12/05/2020,OL597XSM1N,"1000.00","5800"
D1007,8,12/28/2020,OLS3201785,"2900.00","2900"
D1007,8,12/29/2020,OLT935PQUZ,"1800.00","1100"
D1007,8,12/30/2020,OLU14O2TLV,"1100.00",0
D1007,9,01/27/2021,PAR11ZTD35,"6500.00",0
D1007,10,03/01/2021,PC187K5QIW,"6800.00",0
D1007,11,03/16/2021,PCG0QMOOYK,"6960.00",0
D1007,12,04/14/2021,PDE2TCUPQA,"8160.00",0
D1007,13,05/15/2021,PEF4ZA6DZK,"3800.00","4360"
D1007,13,05/17/2021,PEH42PSAJK,"4360.00",0
D1007,14,06/16/2021,PFG57W94GR,"8150.00",10
D1007,14,06/16/2021,PFG17WEK5N,10.00,0
D1007,15,07/15/2021,PGF4DH64A4,"6800.00","1000"
D1007,15,07/15/2021,PGF1DHAF4H,"1000.00",0
D1007,16,08/20/2021,PHK5TMRK4X,"2000.00","8880"
D1007,16,08/24/2021,PHO6Z8F7EC,"8800.00",80
D1007,16,08/24/2021,PHO4Z8J840,80,0
D1007,17,10/16/2021,PJG9BJGON1,950.00,"6950"
D1007,17,10/23/2021,PJN3M9DVHB,500.00,"6450"
D1007,17,10/26/2021,PJQ3QL6O4R,1000,"5450"
D1007,17,11/08/2021,PK83CY2HAN,1050,"4400"
D1007,17,11/09/2021,PK97F76DP1,1000,"3400"
D1007,17,11/10/2021,PKA7GH5I3X,300,"3100"
D1007,17,11/15/2021,PKF7OOJNIT,1050,"2050"
D1007,17,11/17/2021,PKH4RDAU0A,1050,"1000"
D1007,17,11/24/2021,PKO84IGW94,300,700
D1007,17,11/29/2021,PKT2CJ6T24,400,300
D1007,17,12/03/2021,PL33JF4TOH,300,0
D1007,18,12/08/2022,QL83NLVOBX,"1300.00","3660"
D1007,18,12/15/2022,QLF97K1IIP,"1000.00","2660"
D1007,18,12/22/2022,QLM5PWPOTF,1300,"1360"
D1007,18,12/22/2022,QLM4QT64OA,1360,0
D1007,19,01/05/2023,RA50PTQTBA,"1000.00","4080"
D1007,19,01/09/2023,RA94ZZE75I,900.00,"3180"
D1007,19,01/13/2023,RAD3A95OJL,1000,"2180"
D1007,19,01/16/2022,RAG3IPWTMR,2180,0
D1007,20,01/25/2023,RAP25DOSZM,750.00,"4450"
D1007,20,02/01/2023,RB19MUND7T,550.00,"3900"
D1007,20,02/13/2023,RBD2JL9VUW,3900,0
D1007,21,03/07/2023,RC797DR3G3,500.00,"4700"
D1007,21,03/13/2023,RCD5PEL8DJ,"4700.00",0
D1007,22,04/10/2023,RDA5ULCVT7,"5200.00",0
D1007,23,05/08/2023,RE8923S7BN,"5200.00",0
D1007,24,06/05/2023,RF55AGAJHD,"5200.00",0
D1007,25,07/10/2023,RGA86YOIBK,"5440.00",0
D1007,26,08/08/2023,RH88L9PGV6,"5200.00",0
D1008,1,08/04/2020,OH47BHHYOT,"1700.00","4800"
D1008,1,08/12/2020,OHB5JAWD9R,"1000.00","3800"
D1008,1,08/19/2020,OHJ4RIPIEC,"1000.00","2800"
D1008,1,08/25/2020,OHP6X714ZQ,"2800.00",0
D1008,2,09/02/2020,OI236P3D5V,515.00,"6285"
D1008,2,09/24/2020,OIO6TELJ6M,"2944.00","3341"
D1008,2,09/24/2020,OIO4TTD5HQ,"3341.00",0
D1008,3,10/05/2020,OJ556XEIPJ,"1000.00","5500"
D1008,3,10/08/2020,OJ85BAKEFZ,"1500.00","4000"
D1008,3,10/21/2020,0JL4P95VDQ,"4000.00",0
D1008,4,11/02/2020,OK293CLMXD,"1200.00","5300"
